Farmer_ID,Village_ID,District,State,Group,FPO_Member,WDC_Intervention_Area,Age_of_Farmer,Land_Size_Hectares,Farm_Size_Acres,Primary_Crop,Has_Tractor,Access_to_Credit,Distance_to_Market_KM,Off_Farm_Income,Soil_Health_Score,Rainfall_Annual_mm,Avg_Temp_Celsius,Time_Period,Irrigation_Source_Before,Irrigation_Source_After,Training_Received,Crop_Diversification,Fertilizer_Used_Kg_per_Hectare,Pesticide_Used_Liters_per_Hectare,Yield_Kg_Per_Hectare,Cost_of_Cultivation,Income_Annual,Latitude,Longitude
FARM0001,MUR03,Muradnagar,Uttar Pradesh,Treatment,YES,YES,42,2.29,5.66,Gram,YES,YES,9.7,39600,4.2,765,24.3,After,Rainfed,Rainfed,YES,NO,128.01,4.48,9613.59,23305.12,133212.18,28.7733808,77.5033582
FARM0001,MUR03,Muradnagar,Uttar Pradesh,Treatment,YES,YES,42,2.29,5.66,Gram,YES,YES,9.7,39600,4.2,765,24.3,Before,Rainfed,Rainfed,NO,NO,122.99,4.7,8251.22,23828.24,117773.85,28.7733808,77.5033582
FARM0002,PUN04,Pune,Maharashtra,Treatment,YES,YES,40,1.17,2.89,Wheat,NO,NO,14.6,35800,3.7,742,24.5,After,Rainfed,Rainfed,YES,NO,123.05,5.21,4694.72,11857.18,64491.81,18.5213738,73.8545071
FARM0002,PUN04,Pune,Maharashtra,Treatment,YES,YES,40,1.17,2.89,Wheat,NO,NO,14.6,35800,3.7,742,24.5,Before,Rainfed,Rainfed,NO,NO,118.7,5.49,4148.11,12725.25,56762.1,18.5213738,73.8545071
FARM0003,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,56,3.68,9.09,Wheat,NO,NO,10.9,49700,5.0,779,24.4,After,Canal,Canal,YES,NO,107.31,4.3,18219.71,40492.74,257477.69,28.7733808,77.5033582
FARM0003,MUR02,Muradnagar,Uttar Pradesh,Treatment,YES,YES,56,3.68,9.09,Wheat,NO,NO,10.9,49700,5.0,779,24.4,Before,Canal,Canal,NO,NO,104.27,4.54,15883.98,41502.65,220311.09,28.7733808,77.5033582
FARM0004,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,34,2.6,6.42,Wheat,NO,YES,7.9,0,8.2,783,24.9,After,Well,Well,YES,NO,94.16,4.98,14372.47,29324.61,204220.57,28.7733808,77.5033582
FARM0004,MUR01,Muradnagar,Uttar Pradesh,Treatment,YES,YES,34,2.6,6.42,Wheat,NO,YES,7.9,0,8.2,783,24.9,Before,Well,Well,NO,NO,97.88,5.06,11958.14,30832.89,178192.58,28.7733808,77.5033582
FARM0005,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,51,1.42,3.51,Cotton,YES,YES,11.0,37000,7.3,869,24.3,After,Rainfed,Rainfed,YES,YES,91.65,6.77,6615.01,14427.87,105591.22,29.0018557,77.7679671
FARM0005,MEE01,Meerut,Uttar Pradesh,Treatment,YES,YES,51,1.42,3.51,Cotton,YES,YES,11.0,37000,7.3,869,24.3,Before,Rainfed,Rainfed,NO,NO,91.49,7.12,5954.03,15911.39,84252.07,29.0018557,77.7679671
FARM0006,MYS02,Mysuru,Karnataka,Treatment,YES,YES,56,3.75,9.27,Pulses,NO,YES,17.2,20100,4.3,873,24.7,After,Canal,Canal,YES,NO,122.28,5.2,17679.78,40555.7,246282.45,12.3041464,76.6529521
FARM0006,MYS02,Mysuru,Karnataka,Treatment,YES,YES,56,3.75,9.27,Pulses,NO,YES,17.2,20100,4.3,873,24.7,Before,Canal,Canal,NO,NO,117.46,5.63,15593.89,44945.85,223536.38,12.3041464,76.6529521
FARM0007,PUN03,Pune,Maharashtra,Treatment,YES,YES,53,1.87,4.62,Soybean,NO,NO,9.3,75700,3.9,767,25.5,After,Rainfed,Rainfed,YES,NO,120.69,5.04,7812.52,21411.73,107963.87,18.5213738,73.8545071
FARM0007,PUN03,Pune,Maharashtra,Treatment,YES,YES,53,1.87,4.62,Soybean,NO,NO,9.3,75700,3.9,767,25.5,Before,Rainfed,Rainfed,NO,NO,115.99,5.1,6538.67,22749.95,96743.73,18.5213738,73.8545071
FARM0008,MYS01,Mysuru,Karnataka,Treatment,YES,YES,50,1.46,3.61,Cotton,NO,NO,7.3,38600,5.9,842,25.2,After,Canal,Canal,YES,NO,98.11,6.94,7438.01,15483.43,103641.95,12.3041464,76.6529521
FARM0008,MYS01,Mysuru,Karnataka,Treatment,YES,YES,50,1.46,3.61,Cotton,NO,NO,7.3,38600,5.9,842,25.2,Before,Canal,Canal,NO,NO,97.49,7.71,6501.57,16688.07,79368.64,12.3041464,76.6529521
FARM0009,HAP04,Hapur,Uttar Pradesh,Treatment,YES,YES,48,2.66,6.57,Soybean,NO,YES,13.0,36900,7.6,835,24.5,After,Rainfed,Well,YES,NO,106.78,5.57,14554.37,28400.77,205226.31,28.7166767,77.890433
